GeoID,Years,GeoType,TotalPop,PctRural,PctAge65plus,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns,N_BINGE,N_CSMOKING,N_LPA,N_OBESITY,N_CERVICAL,N_MAMMOUSE,N_COLON_SCREEN,N_COREM,N_COREW,N_CHECKUP,RPL_EJI,RPL_SVI
34001,01yr,County,274549,12.71,17.53456155,41.41,16.84,14.89,7.46,16.48,10.48,15.4,25.1,15.17,12.9,17.19293132,16.48821048,28.92249689,35.47882309,81.22246812,75.43156814,68.45334385,37.32640731,32.6867561,76.37693818,0.75,0.9
34001,05yrs,County,274549,12.71,17.53456155,41.41,16.84,14.89,7.46,16.48,10.48,15.4,25.1,15.17,12.9,17.19293132,16.48821048,28.92249689,35.47882309,81.22246812,75.43156814,68.45334385,37.32640731,32.6867561,76.37693818,0.75,0.9
34001,10yrs,County,274549,12.71,17.53456155,41.41,16.84,14.89,7.46,16.48,10.48,15.4,25.1,15.17,12.9,17.19293132,16.48821048,28.92249689,35.47882309,81.22246812,75.43156814,68.45334385,37.32640731,32.6867561,76.37693818,0.75,0.9
34003,01yr,County,905116,0.1,17.02613635,37.46,16.05,5.18,14.44,30.19,5.33,8.3,46.9,7.42,11.1,15.81499808,11.47800923,23.28928822,25.87690539,83.32014758,76.55421824,69.51403146,42.83092399,39.09863675,74.75517613,0.45,0.4
34003,05yrs,County,905116,0.1,17.02613635,37.46,16.05,5.18,14.44,30.19,5.33,8.3,46.9,7.42,11.1,15.81499808,11.47800923,23.28928822,25.87690539,83.32014758,76.55421824,69.51403146,42.83092399,39.09863675,74.75517613,0.45,0.4
34003,10yrs,County,905116,0.1,17.02613635,37.46,16.05,5.18,14.44,30.19,5.33,8.3,46.9,7.42,11.1,15.81499808,11.47800923,23.28928822,25.87690539,83.32014758,76.55421824,69.51403146,42.83092399,39.09863675,74.75517613,0.45,0.4
34005,01yr,County,448734,6.66,16.63965564,29.35,6.42,15.88,4.32,9.31,8.13,7.4,35.7,6.36,6.8,17.58639818,13.86659402,21.6987311,32.78396511,85.21135996,76.88091141,70.31011602,37.84650277,43.25926919,75.69528117,0.35,0.35
34005,05yrs,County,448734,6.66,16.63965564,29.35,6.42,15.88,4.32,9.31,8.13,7.4,35.7,6.36,6.8,17.58639818,13.86659402,21.6987311,32.78396511,85.21135996,76.88091141,70.31011602,37.84650277,43.25926919,75.69528117,0.35,0.35
34005,10yrs,County,448734,6.66,16.63965564,29.35,6.42,15.88,4.32,9.31,8.13,7.4,35.7,6.36,6.8,17.58639818,13.86659402,21.6987311,32.78396511,85.21135996,76.88091141,70.31011602,37.84650277,43.25926919,75.69528117,0.35,0.35
34007,01yr,County,513657,1.62,15.34593577,39.72,14.24,18.45,5.09,10.91,10.91,12.1,30.2,13.23,10.7,16.99919577,16.27962006,27.424676,31.28005731,83.38595308,75.2793331,66.99171782,44.92657824,33.18935613,74.88929675,0.8,0.6
